CIG,NED_ID,logMgas,e_logMgas,logMstar,e_logMstar,logMbar,e_logMbar,fgas,log_jgas,e_logjgas,log_jstar,e_logjstar,log_jbar,e_logjbar,qpar,convergence
85,UGC 01547,10.07,0.12,9.20,0.16,10.12,0.11,0.88,3.48,0.06,3.42,0.07,3.48,0.06,0.52,0
96,NGC 0864,10.22,0.12,10.04,0.14,10.44,0.09,0.67,3.48,0.01,3.20,0.02,3.41,0.01,0.24,0
102,UGC 01886,10.44,0.12,10.85,0.12,10.99,0.09,0.26,3.95,0.17,3.63,0.36,3.74,0.28,0.12,0
103,NGC 0918,9.52,0.12,9.97,0.14,10.10,0.11,0.26,3.12,0.04,2.87,0.07,2.95,0.06,0.16,1
123,IC 0302,10.45,0.12,10.94,0.12,11.06,0.09,0.41,3.78,0.02,3.31,0.05,3.56,0.03,0.12,0
134,UGC 02883,9.81,0.12,10.43,0.12,10.52,0.10,0.19,3.55,0.10,3.25,0.21,3.32,0.17,0.15,0
147,NGC 1530,10.26,0.12,10.76,0.12,10.88,0.09,0.46,3.70,0.02,3.35,0.04,3.55,0.02,0.21,1
159,UGC 03326,10.21,0.12,10.68,0.12,10.81,0.09,0.18,3.60,0.04,3.29,0.08,3.37,0.07,0.06,0
188,UGC 03826,9.82,0.12,9.72,0.14,10.07,0.09,0.56,2.61,0.11,2.42,0.17,2.53,0.13,0.07,0
232,NGC 2532,10.48,0.12,10.23,0.12,10.68,0.09,0.64,3.19,0.06,2.97,0.10,3.12,0.07,0.06,0
240,UGC 04326,9.76,0.12,10.56,0.12,10.62,0.10,0.12,3.49,0.04,3.16,0.08,3.22,0.07,0.08,1
292,NGC 2712,10.02,0.12,10.14,0.12,10.38,0.08,0.41,3.35,0.02,2.93,0.05,3.16,0.03,0.13,1
314,NGC 2776,10.30,0.12,10.52,0.12,10.72,0.09,0.58,3.32,0.05,2.85,0.15,3.18,0.07,0.10,0
329,NGC 2862,10.13,0.12,10.88,0.12,10.95,0.10,0.14,3.79,0.03,3.11,0.16,3.30,0.11,0.05,0
359,NGC 2960,9.63,0.12,10.76,0.12,10.79,0.11,0.05,3.64,0.02,3.47,0.04,3.48,0.03,0.08,0
361,NGC 2955,10.61,0.12,10.94,0.12,11.11,0.09,0.34,3.81,0.06,3.42,0.14,3.60,0.10,0.08,1
421,UGC 05700,10.39,0.12,10.66,0.12,10.85,0.09,0.34,3.62,0.20,3.34,0.38,3.46,0.29,0.09,0
463,UGC 06162,9.89,0.12,9.70,0.14,10.11,0.09,0.62,3.08,0.11,2.75,0.24,2.98,0.14,0.18,0
512,UGC 06903,9.75,0.12,9.75,0.14,10.05,0.09,0.50,2.93,0.03,2.75,0.05,2.85,0.04,0.15,0
551,UGC 07941,9.87,0.12,9.24,0.16,9.96,0.10,0.70,3.12,0.04,2.74,0.09,3.04,0.05,0.24,1
553,NGC 4719,10.26,0.12,10.83,0.12,10.93,0.10,0.20,3.37,0.07,2.96,0.17,3.08,0.13,0.03,1
571,NGC 4964,9.38,0.04,9.70,0.14,9.87,0.10,0.32,3.14,0.07,2.78,0.15,2.93,0.11,0.27,0
581,NGC 5081,10.49,0.12,10.88,0.12,11.03,0.09,0.27,3.93,0.02,3.44,0.07,3.63,0.05,0.09,0
604,NGC 5377,9.59,0.12,10.60,0.12,10.64,0.11,0.10,3.47,0.06,3.05,0.15,3.12,0.13,0.08,1
616,UGC 09088,10.25,0.12,10.88,0.12,10.97,0.10,0.18,3.88,0.04,3.49,0.09,3.60,0.07,0.09,1
626,NGC 5584,9.96,0.12,10.05,0.14,10.31,0.10,0.54,2.87,0.08,2.71,0.12,2.80,0.10,0.09,0
660,UGC 09730,9.51,0.12,9.14,0.16,9.66,0.10,0.71,2.84,0.07,2.55,0.13,2.77,0.08,0.30,0
676,UGC 09853,10.16,0.12,10.62,0.12,10.75,0.09,0.23,3.55,0.05,3.21,0.11,3.31,0.09,0.08,0
736,NGC 6118,9.91,0.12,10.38,0.12,10.51,0.09,0.28,3.28,0.02,3.03,0.04,3.11,0.03,0.10,1
744,UGC 10437,9.92,0.12,9.32,0.16,10.02,0.10,0.80,3.27,0.05,3.13,0.07,3.25,0.06,0.39,0
983,UGC 12173,10.05,0.12,10.58,0.12,10.69,0.09,0.23,3.62,0.08,3.28,0.17,3.39,0.13,0.12,1
988,UGC 12190,10.48,0.12,10.83,0.12,10.99,0.09,0.25,3.78,0.05,3.42,0.12,3.54,0.09,0.07,0
1000,UGC 12260,9.90,0.12,9.83,0.14,10.17,0.09,0.54,3.33,0.09,2.97,0.21,3.20,0.13,0.25,0
1004,NGC 7479,10.22,0.12,10.52,0.12,10.70,0.09,0.36,3.61,0.03,3.31,0.07,3.44,0.05,0.14,1
1006,UGC 12372,9.96,0.12,10.42,0.12,10.55,0.09,0.25,3.05,0.20,2.85,0.31,2.91,0.27,0.05,1
1019,NGC 7664,10.34,0.12,10.34,0.12,10.64,0.08,0.44,3.62,0.07,3.26,0.16,3.46,0.10,0.13,0
